"UUID","name","description","flavor_text","rarity","image_link","card_type"
"f47a9b2c-3d8e-4f1a-9c7b-8e5f2a1d6b9c","Ironclad Berserker","A towering warrior clad in battle-scarred plate armor wielding a massive two-handed axe. His beard is braided with iron rings and his eyes burn with primal fury.","The mountain trembles before his rage.","Epic","assets/cards/Default_Card.png","Character"
"2b8f6a9d-7c4e-4b2a-8f9e-1d5a7c3b6f8d","Shadowblade Assassin","A lithe figure wrapped in dark leather and silk, with twin curved daggers at her sides. Her face is partially concealed by a hood revealing only piercing violet eyes.","Death walks silently in her footsteps.","Rare","assets/cards/Default_Card.png","Character"
"9e3c7b1f-6a4d-4c8b-9f2e-5a8d1c7b4f9e","Stormcaller Mage","An elderly wizard with a long silver beard and robes crackling with electric energy. Lightning dances between his fingertips as he grips an ornate staff.","Thunder bows to his command.","Epic","assets/cards/Default_Card.png","Character"
"4d7a2c8f-9b6e-4f3a-8d9c-2f7a5b8e1c4d","Blood Knight Paladin","A grim warrior in crimson armor wielding a blessed sword that glows with holy fire. Battle scars cross his weathered face like a map of past victories.","Salvation through sacrifice, victory through blood.","Epic","assets/cards/Default_Card.png","Character"
"8f2e6b9c-5a7d-4b8f-9e3c-7b1f4d8a2c5f","Frostbite Ranger","A skilled archer with ice-blue eyes and frost-touched hair, wearing hide armor adorned with wolf pelts. Her longbow gleams with magical ice crystals.","Winter's arrow never misses its mark.","Rare","assets/cards/Default_Card.png","Character"
"1c5f8a2d-7b4e-4c9f-8a3d-6f2e9b5c8a1d","Earthshaker Barbarian","A massive warrior with ritual tattoos covering his muscled frame, wielding a war hammer that seems carved from living stone. His roar can split mountains.","The earth itself is his weapon.","Uncommon","assets/cards/Default_Card.png","Character"
"7a4d8c2f-9e6b-4f7a-8c5d-3f9e2b7a4d8c","Nimble Duelist","An elegant swordsman in fine clothing with a rapier at his side. His movements are fluid like water and his smile is as sharp as his blade.","Grace in motion, death in precision.","Uncommon","assets/cards/Default_Card.png","Character"
"3f9e2b7a-4d8c-4a5f-9e6b-7a4d8c2f3f9e","Phoenix Warrior","A fierce female fighter wreathed in flames, her armor forged from phoenix feathers. Her eyes burn like embers and her sword ignites with each swing.","From ashes, she rises stronger.","Epic","assets/cards/Default_Card.png","Character"
"6b8e1c4f-7a9d-4e2b-8f5c-4a7d9e6b8e1c","Moonlight Sentinel","A graceful guardian in silver mail with a crescent-shaped shield and a spear that gleams like moonbeams. Her pale skin seems to glow in darkness.","Night's eternal protector stands vigilant.","Rare","assets/cards/Default_Card.png","Character"
"9d5c8a1f-4e7b-4d6a-9c8f-5e1b7d9c5a8f","Venomstrike Rogue","A deadly assassin with emerald eyes and daggers coated in toxic poison. Her movements are serpentine and her smile promises a painful end.","One cut is all she needs.","Uncommon","assets/cards/Default_Card.png","Character"
"2e8b5f9c-6a3d-4f8e-9b7c-8a5f2e9b6c3d","Thunderfist Monk","A disciplined martial artist with shaved head and robes bearing storm symbols. His fists crackle with electrical energy as he assumes fighting stance.","Body and spirit united in thunder.","Common","assets/cards/Default_Card.png","Character"
"5a9f2c8e-3d6b-4a9f-8e5c-6b2a9f5c8e3d","Bladedancer Warrior","An agile fighter who moves like a deadly ballet dancer, dual-wielding curved swords. Her hair flows like silk as she spins through combat.","Death is her dance partner.","Epic","assets/cards/Default_Card.png","Character"
"8c6f9a2e-5b7d-4c8f-9a6e-7d5c8f2a9e6b","Grimward Defender","A stalwart shield-bearer in heavy armor marked with protective runes. His tower shield bears the scars of a thousand battles.","None shall pass while he draws breath.","Uncommon","assets/cards/Default_Card.png","Character"
"1f4a7c9e-8b5d-4f7a-9c8e-5d1f7a4c9e8b","Wildheart Druid","A nature warrior with bark-like skin and leaves in her hair, wielding a staff carved from ancient oak. Vines wrap around her arms like living armor.","Nature's fury given mortal form.","Rare","assets/cards/Default_Card.png","Character"
"4b8e5a9f-2c7d-4b8e-9f5a-7d4b8e2c9f5a","Crystalshard Battlemage","A hybrid warrior-mage whose armor is embedded with glowing crystals. Arcane energy flows through his sword as he weaves spells with each strike.","Magic and steel in perfect harmony.","Epic","assets/cards/Default_Card.png","Character"
"7d2f9a5c-8e6b-4d7f-9a5c-6e7d2f9a5c8e","Oathbreaker Knight","A fallen paladin in blackened armor, his sword wreathed in dark energy. His eyes glow with unholy light as shadows writhe around his form.","Honor abandoned for power eternal.","Legendary","assets/cards/Default_Card.png","Character"
"9a5c8e2f-6b7d-4a9c-8e5f-7b9a5c8e2f6b","Starfall Archer","An elven marksman whose arrows shimmer with celestial light. Her bow was crafted from meteorite and her aim is guided by the stars themselves.","Each arrow carries heaven's judgment.","Uncommon","assets/cards/Default_Card.png","Character"
"2c8f5a9e-7d6b-4c8f-9e5a-6d2c8f5a9e7d","Bonecrusher Champion","A massive gladiator wielding a spiked maul, his body covered in ritual scars and victory marks. His presence alone intimidates lesser warriors.","Victory is written in his scars.","Common","assets/cards/Default_Card.png","Character"
"5e9a2c8f-6b7d-4e9a-8f2c-7b5e9a2c8f6b","Soulreaper Necromancer","A dark spellcaster in tattered robes commanding undead minions. Her eyes are hollow voids and death energy radiates from her skeletal staff.","Life is but a fleeting inconvenience.","Legendary","assets/cards/Default_Card.png","Character"
"8f6b9a2e-5c7d-4f8b-9a2e-7c8f6b9a2e5c","Windstrider Scout","A swift reconnaissance warrior with feathers braided in her hair and wind magic flowing around her form. Her speed defies mortal understanding.","Swift as the storm wind.","Uncommon","assets/cards/Default_Card.png","Character"
