"UUID","name","description","flavor_text","rarity","image_link","card_type"
"d4c2b2d5-48e0-4a2b-8e9f-e4af2a3a08ff","Midnight Blossom","A mysterious woman with long, flowing black hair and piercing red eyes, adorned in a dark kimono with cherry blossom patterns.","Whispers of the night, as deadly as she is beautiful.","Epic","assets/cards/Default_Card.png","Character"
"9f8e4bff-8b7c-4a0d-b2a5-6b4a8ffd7f64","Scarlet Ember","A fiery redhead with glowing eyes, wearing a revealing crimson dress that seems to shimmer like flames.","Passion and danger, her heart burns brighter than any inferno.","Rare","assets/cards/Default_Card.png","Character"
"1a6e97d2-4c3b-41c8-a4cb-cb9b5f69a72a","Lunar Priestess","A serene beauty with silver hair and glowing blue eyes, wearing a flowing white robe adorned with moon symbols.","Guardian of the night sky, her grace is as cold as the moon.","Uncommon","assets/cards/Default_Card.png","Character"
"3c9b8e75-5f7a-4bfc-af1c-fdb9d4736342","Blood Rose","A sultry woman with dark hair and piercing green eyes, wearing a black leather corset adorned with roses.","Thorns as sharp as her wit, every kiss is a promise of pain.","Epic","assets/cards/Default_Card.png","Character"
"7a1b3f8d-4e9c-43ac-b2eb-5211f15d0ffd","Shattered Mirage","A mysterious woman with short, spiky white hair and golden eyes, wearing a sleek black and silver outfit.","Illusions are her weapon, but her beauty is all too real.","Rare","assets/cards/Default_Card.png","Character"
"6b4a8bb5-2e9f-4c3d-bc18-dfc9ae7d8c3e","Crimson Valkyrie","A strong and confident woman with long blonde hair and crimson wings, wearing a revealing armor set.","War is her passion, and the battlefield is her home.","Legendary","assets/cards/Default_Card.png","Character"
"2f5b9a1c-4d6e-49c3-a0ac-8d37cfcfb7df","Phantom Dancer","A graceful woman with black and purple hair, wearing a revealing outfit that seems to shift like shadows.","Dance with her, but beware the final step.","Uncommon","assets/cards/Default_Card.png","Character"
"8f9e4a2d-5b1c-4a3e-b3ee-ae6c15b8a7ff","Gilded Siren","A golden-haired beauty with piercing blue eyes, wearing a shimmering gold and white dress.","Her song lures you in, but the cost may be your soul.","Epic","assets/cards/Default_Card.png","Character"
"4e2a5f0d-7c3b-45cd-bfc1-d242d1e94cc6","Ashen Widow","A dark-haired woman with pale skin and red eyes, wearing a black widow's veil and dress.","Her touch is as cold as the grave, but her love is eternal.","Rare","assets/cards/Default_Card.png","Character"
"0f7b5c2a-9f4d-46ab-b6a3-d6a3b0f1a4e8","Frostbite Seraphim","A chilling beauty with white hair and icy blue eyes, wearing a revealing outfit made of frozen crystals.","Her kiss is as cold as the frost, but her heart burns with fire.","Uncommon","assets/cards/Default_Card.png","Character"
"5cfcda3b-6f1e-4e9d-a0a2-b0f7d3cf8f66","Nocturnal Huntress","A sleek woman with dark hair and glowing yellow eyes, wearing a black leather outfit adorned with wolf symbols.","The night is her domain, and you are her prey.","Common","assets/cards/Default_Card.png","Character"
"9c2a5b4d-8e1f-4c3a-a2c7-c6ee9f22ab44","Burning Halo","A fiery woman with orange hair and wings, wearing a revealing outfit that seems to be made of pure flames.","Her passion is as hot as the sun, but her love is a burning inferno.","Epic","assets/cards/Default_Card.png","Character"
"4c7b8f9e-5e6a-43d3-b1f5-d0df4c2d10ab","Void Empress","A mysterious woman with purple hair and black eyes, wearing a dark, revealing outfit adorned with stars.","Her embrace is as empty as the void, but her power is beyond comprehension.","Legendary","assets/cards/Default_Card.png","Character"
"6e7a5f1c-8f2d-4b44-b3c9-94a0e5f8cfc8","Shattered Doll","A broken yet beautiful woman with porcelain skin and red hair, wearing a torn white dress.","Her beauty is fragile, but her spirit is unbreakable.","Uncommon","assets/cards/Default_Card.png","Character"
"1d4b5a6f-7e9c-44ab-a3b1-d15cb5d0d2cc","Raven's Call","A dark-haired woman with black wings and red eyes, wearing a revealing black outfit.","Her call is as mysterious as the night, but her love is as deep as the abyss.","Common","assets/cards/Default_Card.png","Character"
"8e9a5f3b-4d6c-47c2-b1e5-f4a5d2f7c1ff","Celestial Blade","A heavenly woman with white hair and blue eyes, wearing a revealing armor set adorned with wings.","Her blade shines as bright as the stars, but her heart is as cold as space.","Epic","assets/cards/Default_Card.png","Character"
"4b6a8f7e-5d9c-45cd-a4b3-d1a8f8e5ab34","Blood Moon Enchantress","A sultry woman with black hair and red eyes, wearing a revealing outfit adorned with moon symbols.","Her enchantments are as powerful as the blood moon, but her love is a curse.","Uncommon","assets/cards/Default_Card.png","Character"
"7c4a8b1d-6f2e-4f3a-b2d5-c6e9f8f0dfe2","Golden Temptress","A blonde woman with golden eyes, wearing a shimmering gold and white dress.","Her beauty is as tempting as gold, but her heart is worth more than any treasure.","Epic","assets/cards/Default_Card.png","Character"
"3a5b7c8f-4d4e-46ab-b6d1-df2a5d2f7e9d","Stormbringer","A powerful woman with wild blue hair and lightning eyes, wearing a revealing outfit that seems to crackle with electricity.","Her touch is as electrifying as the storm, but her love is as calm as the eye of the hurricane.","Uncommon","assets/cards/Default_Card.png","Character"
"2e8a5f0d-7c3b-45cd-bfc1-d242d1e94cc6","Ashen Widow","A dark-haired woman with pale skin and red eyes, wearing a black widow's veil and dress.","Her touch is as cold as the grave, but her love is eternal.","Rare","assets/cards/Default_Card.png","Character"
