"UUID","name","description","flavor_text","rarity","image_link","card_type"
"e8f4a2b9-3c7d-4e8f-a2b9-7de8f4a2b93c","Dragonbane Greatsword","A massive two-handed blade forged from dragonscale steel with runes that glow red-hot when near draconic enemies. The crossguard resembles dragon wings.","Even the mightiest wyrm fears this edge.","Legendary","assets/cards/Default_Card.png","Character"
"4b9c7d3e-8f2a-4b9c-7d3e-2a4b9c7d3e8f","Moonkissed Rapier","An elegant dueling sword with a blade that shimmers like moonlight on water. The ornate hilt is wrapped in silver wire and topped with a crescent moon pommel.","Grace flows through every thrust.","Rare","assets/cards/Default_Card.png","Character"
"7d3e8f2a-4b9c-4d7e-8f2a-9c7d3e8f2a4b","Stormbreaker Warhammer","A mighty two-handed hammer whose head crackles with perpetual lightning. Thor himself would envy this weapon's power to split the very sky.","Thunder follows in its wake.","Epic","assets/cards/Default_Card.png","Character"
"2a4b9c7d-3e8f-4a2b-9c7d-8f2a4b9c7d3e","Whisperwind Bow","A recurved bow carved from ancient yew with silver inlays that catch the light. Arrows fired from it make no sound as they find their mark.","Silent death on swift wings.","Uncommon","assets/cards/Default_Card.png","Character"
"8f2a4b9c-7d3e-4f8a-2b9c-3e8f2a4b9c7d","Bloodthirster Battleaxe","A vicious double-headed axe with a crimson blade that seems to pulse with its own heartbeat. The weapon grows stronger with each enemy felled.","It hungers for more than victory.","Epic","assets/cards/Default_Card.png","Character"
"3e8f2a4b-9c7d-4e3f-8a2b-7d3e8f2a4b9c","Frostbite Dagger","A slender blade of eternal ice that never melts, wrapped in leather that remains warm to the touch. Wounds from this weapon freeze from within.","Winter's cold bite never fades.","Common","assets/cards/Default_Card.png","Character"
"9c7d3e8f-2a4b-4c9d-7e3f-4b9c7d3e8f2a","Soulrend Scythe","A curved reaping blade attached to a bone-white shaft carved with necromantic symbols. The weapon seems to whisper names of the recently departed.","Death's own harvesting tool.","Legendary","assets/cards/Default_Card.png","Character"
"4a2b9c7d-3e8f-4a2b-9c7d-8f4a2b9c7d3e","Starfall Crossbow","A mechanical crossbow with celestial bronze mechanisms and crystal focusing lenses. Bolts fired from it streak like falling stars.","Heaven's judgment made manifest.","Rare","assets/cards/Default_Card.png","Character"
"7e3f8a2b-9c4d-4e7f-8a2b-4d7e3f8a2b9c","Thornsnarl Mace","A brutal weapon with a head carved from living wood that sprouts sharp thorns. Vines wrap around the handle and bloom with poisonous flowers.","Nature's wrath given form.","Uncommon","assets/cards/Default_Card.png","Character"
"2b9c4d7e-3f8a-4b2c-9d7e-8a2b9c4d7e3f","Flamebrand Falchion","A curved sword with a blade that burns with perpetual flame yet never consumes itself. The heat radiates warmth even in the coldest dungeons.","Fire that burns eternal bright.","Epic","assets/cards/Default_Card.png","Character"
"8a2b9c4d-7e3f-4a8b-2c9d-3f8a2b9c4d7e","Windcutter Katana","A masterwork blade folded a thousand times with an edge sharp enough to slice through gusts of wind itself. The scabbard bears storm cloud patterns.","Swift as lightning's flash.","Rare","assets/cards/Default_Card.png","Character"
"3f8a2b9c-4d7e-4f3a-8b2c-7e3f8a2b9c4d","Earthshaker Maul","A colossal two-handed hammer with a head carved from a single boulder. Each strike creates minor tremors that can topple stone walls.","The ground trembles at its approach.","Epic","assets/cards/Default_Card.png","Character"
"9d7e3f8a-2b4c-4d9e-7f3a-4c9d7e3f8a2b","Shadowstrike Shortsword","A black blade that seems to absorb light around it with a hilt wrapped in midnight silk. The weapon phases partially out of reality during attacks.","Darkness serves as its sheath.","Uncommon","assets/cards/Default_Card.png","Character"
"4c9d7e3f-8a2b-4c9d-7e3f-2b4c9d7e3f8a","Voidpierce Spear","A long weapon with a spearhead forged from meteoric metal that gleams with otherworldly darkness. The shaft bears runic inscriptions in forgotten tongues.","From beyond the stars it came.","Epic","assets/cards/Default_Card.png","Character"
"7f3a8b2c-9d4e-4f7a-3b8c-4e7f3a8b2c9d","Crystalshard Longsword","A blade made from a single piece of enchanted crystal that refracts light into rainbow patterns. The edge remains impossibly sharp despite its fragile appearance.","Beautiful destruction crystallized.","Rare","assets/cards/Default_Card.png","Character"
"2c9d4e7f-3a8b-4c2d-9e4f-8b2c9d4e7f3a","Heartseeker Crossbow","A compact crossbow designed for precision strikes with mechanisms crafted from silver and gold. Each bolt is fletched with phoenix feathers.","Love's arrow finds its target.","Uncommon","assets/cards/Default_Card.png","Character"
"8b2c9d4e-7f3a-4b8c-2d9e-3a8b2c9d4e7f","Runebreaker Mace","A weapon whose head is inscribed with counter-magic runes that glow when near enchanted items. The handle is wrapped in leather from magical beasts.","Magic bends before its might.","Common","assets/cards/Default_Card.png","Character"
"3a8b2c9d-4e7f-4a3b-8c2d-7f3a8b2c9d4e","Doomcleaver Axe","A single-bladed weapon with a crescent edge that seems to devour light itself. The weapon grows heavier with each life it claims.","Fate falls beneath its bite.","Epic","assets/cards/Default_Card.png","Character"
"9e4f7a3b-8c2d-4e9f-4a7b-2d9e4f7a3b8c","Gossamer Blade","An impossibly thin sword that appears to be made of crystallized air with a cutting edge finer than any mortal smith could achieve.","Delicate as a butterfly's wing.","Uncommon","assets/cards/Default_Card.png","Character"
"4d7f3a8b-2c9e-4d7f-3a8b-9e4d7f3a8b2c","Oathkeeper Shield","A tower shield bearing the crests of fallen knights with a surface that reflects the honor of its wielder. It has never been broken in combat.","Honor stands eternal guard.","Uncommon","assets/cards/Default_Card.png","Character"
