"Name","Head","Colour","Scales","Wings","Legs","Background","rarity"
"C3 Dragon #1","Horned","Red","Diamond","Leather","Clawed","Desert","Common"
"C3 Dragon #2","Silly","Green","Rock","Feathered","Armored","Mountains","Common"
"C3 Dragon #3","Crowned","Blue","Grass","Crystalline","Muscular","Volcano","Uncommon"
"C3 Dragon #4","Spiked","Gold","Fire","Tattered","Slender","Ocean","Common"
"C3 Dragon #5","Ancient","Black","Ice","Glowing","Spiked","Forest","Rare"
"C3 Dragon #6","Noble","Silver","Steel","Metallic","Webbed","Sky","Common"
"C3 Dragon #7","Fierce","Purple","Crystal","Transparent","Crystalline","Cave","Common"
"C3 Dragon #8","Horned","Red","Rock","Leather","Clawed","Glacier","Uncommon"
"C3 Dragon #9","Silly","Green","Diamond","Feathered","Armored","Desert","Common"
"C3 Dragon #10","Crowned","Blue","Fire","Crystalline","Muscular","Mountains","Common"
"C3 Dragon #11","Spiked","Gold","Grass","Tattered","Slender","Volcano","Rare"
"C3 Dragon #12","Ancient","Black","Ice","Glowing","Spiked","Ocean","Common"
"C3 Dragon #13","Noble","Silver","Steel","Metallic","Webbed","Forest","Uncommon"
"C3 Dragon #14","Fierce","Purple","Crystal","Transparent","Crystalline","Sky","Common"
"C3 Dragon #15","Horned","Red","Rock","Leather","Clawed","Cave","Common"
"C3 Dragon #16","Silly","Green","Diamond","Feathered","Armored","Glacier","Uncommon"
"C3 Dragon #17","Crowned","Blue","Fire","Crystalline","Muscular","Desert","Common"
"C3 Dragon #18","Spiked","Gold","Grass","Tattered","Slender","Mountains","Rare"
"C3 Dragon #19","Ancient","Black","Ice","Glowing","Spiked","Volcano","Common"
"C3 Dragon #20","Noble","Silver","Steel","Metallic","Webbed","Ocean","Uncommon"
"C3 Dragon #21","Fierce","Purple","Crystal","Transparent","Crystalline","Forest","Common"
"C3 Dragon #22","Horned","Red","Rock","Leather","Clawed","Sky","Common"
"C3 Dragon #23","Silly","Green","Diamond","Feathered","Armored","Cave","Uncommon"
"C3 Dragon #24","Crowned","Blue","Fire","Crystalline","Muscular","Glacier","Common"
"C3 Dragon #25","Spiked","Gold","Grass","Tattered","Slender","Desert","Rare"
"C3 Dragon #26","Ancient","Black","Ice","Glowing","Spiked","Mountains","Common"
"C3 Dragon #27","Noble","Silver","Steel","Metallic","Webbed","Volcano","Uncommon"
"C3 Dragon #28","Fierce","Purple","Crystal","Transparent","Crystalline","Ocean","Common"
"C3 Dragon #29","Horned","Red","Rock","Leather","Clawed","Forest","Common"
"C3 Dragon #30","Silly","Green","Diamond","Feathered","Armored","Sky","Uncommon"
"C3 Dragon #31","Crowned","Blue","Fire","Crystalline","Muscular","Cave","Common"
"C3 Dragon #32","Spiked","Gold","Grass","Tattered","Slender","Glacier","Rare"
"C3 Dragon #33","Ancient","Black","Ice","Glowing","Spiked","Desert","Common"
"C3 Dragon #34","Noble","Silver","Steel","Metallic","Webbed","Mountains","Uncommon"
"C3 Dragon #35","Fierce","Purple","Crystal","Transparent","Crystalline","Volcano","Common"
"C3 Dragon #36","Horned","Red","Rock","Leather","Clawed","Ocean","Common"
"C3 Dragon #37","Silly","Green","Diamond","Feathered","Armored","Forest","Uncommon"
"C3 Dragon #38","Crowned","Blue","Fire","Crystalline","Muscular","Sky","Common"
"C3 Dragon #39","Spiked","Gold","Grass","Tattered","Slender","Cave","Rare"
"C3 Dragon #40","Ancient","Black","Ice","Glowing","Spiked","Glacier","Common"
"C3 Dragon #41","Noble","Silver","Steel","Metallic","Webbed","Desert","Uncommon"
"C3 Dragon #42","Fierce","Purple","Crystal","Transparent","Crystalline","Mountains","Common"
"C3 Dragon #43","Horned","Red","Rock","Leather","Clawed","Volcano","Common"
"C3 Dragon #44","Silly","Green","Diamond","Feathered","Armored","Ocean","Uncommon"
"C3 Dragon #45","Crowned","Blue","Fire","Crystalline","Muscular","Forest","Common"
"C3 Dragon #46","Spiked","Gold","Grass","Tattered","Slender","Sky","Rare"
"C3 Dragon #47","Ancient","Black","Ice","Glowing","Spiked","Cave","Epic"
"C3 Dragon #48","Noble","Silver","Steel","Metallic","Webbed","Glacier","Common"
"C3 Dragon #49","Fierce","Purple","Crystal","Transparent","Crystalline","Desert","Epic"
"C3 Dragon #50","Crowned","Gold","Diamond","Glowing","Crystalline","Volcano","Legendary"
